addictive tendency,for,against
sex,happiness,loneliness
pornography,enjoyment,powerlessness
alcohol,fun,
food,peace,
eating,,anxiety
marihuana,relaxation,stress
internet,,depression
eating,comfort,boredom
coffee,,boredom
marihuana,,boredom
pornography,orgasm,
cocaine,happiness,sadness
alcohol,money,
alcohol,relaxation,sadness
masturbation,orgasm,work
shopping,calmness,sleepiness
methamphetamine,energy,stress
alcohol,fun,aggression
methamphetamine,high,pain
marihuana,enjoyment,people
marihuana,relaxation,anxiety
marihuana,feeling good,anxiety
drinking,calmness,loneliness
heroine,feeling good,life
alcohol,drunk,
sugar,pleasure,work
shopping,clarity,
masturbation,pleasure,
shopping,fullness,
coffee,energy,
internet,relief,
internet,relief,loneliness
internet,relief,sadness
alcohol,happiness,
shopping,,boredom
shopping,,fear
shopping,comfort,boredom
internet,enjoyment,
shopping,satisfaction,anxiety
heroine,relief,
weed,relaxation,
internet,relaxation,work
shopping,fullness,work
methamphetamine,stillness,
shopping,,boredom
eating,high,
coffee,pleasure,nervousness
food,comfort,
shopping,happiness,
shopping,clarity,
nicotine,,stress
alcohol,relaxation,
marihuana,high,
cigarettes,relaxation,
alcohol,happiness,boredom
cocaine,energy,sleepiness
smoke,,life
pornography,,people
marihuana,relaxation,anger
coffee,energy,sleepiness
alcohol,drunk,boredom
alcohol,joy,sadness
cigarettes,calmness,stress
cigarettes,,nervousness
alcohol,drunk,
weed,calmness,life
shopping,joy,anger
alcohol,,anxiety
alcohol,happiness,
alcohol,pleasure,pain
heroine,help,
weed,high,dying
weed,high,
marihuana,calmness,pain
pornography,pleasure,
sex,pleasure,
drinking,numbness,loneliness
pornography,relaxation,
alcohol,joy,
marihuana,stillness,emptiness
alcohol,joy,
alcohol,,fear
pornography,enjoyment,
cannabis,relaxation,
alcohol,relaxation,
pornography,pleasure,
marihuana,relaxation,stress
nicotine,pleasure,nervousness
shopping,satisfaction,emptiness
shopping,,sadness
masturbation,orgasm,
pornography,pleasure,
pornography,,boredom
gambling,,reality
drinking,relaxation,
sex,fun,
sex,fun,
pornography,happiness,loneliness
shopping,happiness,
pornography,relaxation,stress
